Record Date,Creditor Agency Name,Agency ID,Agency Site Type Code,Agency Site ID,Agency Site Name,Source Agency Alpha,Source Agency Numeric,Source Agency Site ID,Agency Name,Payment Agency ID,Agency Type Code,Payment Source Description,Payment Source Code,Payment Category Description,Payment Type Description,Payment Type Code,Payment Type ID,Debt Type Code,Debt Type Description,Taxable Indicator,Total Gross Amount,Total Net Amount,Total Gross Count,Total Net Count,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-10-01,Virginia Dept of Taxation - SRP,281,State,V201,V2-01-VIRGINIA DEPARTMENT OF TAXATION,V2,ZZ,01,Bypass Agency Payments,300,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,82.27,82.27,2,2,2023,1,2022,4,10,01
2022-10-01,Virginia Dept of Taxation - SRP,281,State,V201,V2-01-VIRGINIA DEPARTMENT OF TAXATION,V2,46,01,Farm Service Agency,121,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,402.70,402.70,3,3,2023,1,2022,4,10,01
2022-10-01,Utah State Tax Commission - SIT,280,State,UT01,UT-01-UTAH STATE TAX COMMISSION,UT,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,165046.34,164487.55,157,156,2023,1,2022,4,10,01
2022-10-01,Texas Workforce Commission - UIC,278,State,T401,T4-01-TEXAS WORKFORCE COMMISSION-BENEFIT,T4,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,UC,UNEMPLOYMENT COMP,Y,747816.47,716841.63,1008,979,2023,1,2022,4,10,01
2022-10-01,State of Tennessee DLWD - UIC,277,State,T301,T3-01-TN DEPT. OF  LABOR & WORKFORCE DEV.,T3,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,UC,UNEMPLOYMENT COMP,Y,90585.13,90585.13,80,80,2023,1,2022,4,10,01
2022-10-01,South Carolina Wkfc Svcs - UIC,273,State,S3TX,S3-TX-SOUTH CAROLINA DEPT,S3,51,TX,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,4495.69,4269.48,22,18,2023,1,2022,4,10,01
2022-10-01,New Jersey Dept of Labor - UIC,268,State,Q801,Q8-01-NJ LABOR AND WORKFORCE,Q8,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,108019.05,106843.44,134,129,2023,1,2022,4,10,01
2022-10-01,Nevada Department of Labor - UIC,267,State,Q601,"Q6-01-DEPT. OF EMPL., TRAINING & REHAB.",Q6,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,38177.72,38177.72,9,9,2023,1,2022,4,10,01
2022-10-01,New Jersey Div of Taxation - SIT,249,State,NJ01,NJ-01-NEW JERSEY DIVISION OF TAXATION,NJ,23,01,U.S. Department of State,47,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,ST,STATE TAX,Y,703.59,703.59,2,2,2023,1,2022,4,10,01
2022-10-01,Bureau of the Fiscal Service,83,Federal,33JG,33-JG-DMSOC - EAST,33,27,JG,Social Security Administration,51,Federal,Social Security Administration,SSA,TDO,SSA Check,SC,11,FN,FEDERAL NON-TAX,N,96.00,96.00,1,1,2023,1,2022,4,10,01
2022-10-01,New Jersey Div of Taxation - SIT,249,State,NJ01,NJ-01-NEW JERSEY DIVISION OF TAXATION,NJ,1C,01,Department of Homeland Security,21,State,Vendor payment,VEN,TDO,Vendor Check,VC,13,ST,STATE TAX,Y,1902.39,1902.39,1,1,2023,1,2022,4,10,01
2022-10-01,New Jersey Div of Taxation - SIT,249,State,NJ01,NJ-01-NEW JERSEY DIVISION OF TAXATION,NJ,10,01,Department of the Treasury / BPD,10,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,10844.22,10844.22,11,11,2023,1,2022,4,10,01
2022-10-01,Nebraska Dept of Revenue - SIT,248,State,NE01,NE-01-NEBRASKA DEPARTMENT OF REVENUE,NE,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,15002.59,15002.59,25,25,2023,1,2022,4,10,01
2022-10-01,NYS Dept of Tax'n and Finance - SRP,245,State,N501,N5-01-NYS DEPT. OF TAXATION & FINANCE,N5,51,01,Internal Revenue Service,132,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1.16,1.16,1,1,2023,1,2022,4,10,01
2022-10-01,NYS Dept of Tax'n and Finance - SRP,245,State,N501,N5-01-NYS DEPT. OF TAXATION & FINANCE,N5,06,01,Small Business Administration,6,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,OS,OTHER STATE,N,59.78,59.78,1,1,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,AR,01,Department of the Army,188,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,74400.00,74400.00,2,2,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,87,01,Armed Forces Retirement Home,169,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,27441.94,27441.94,3,3,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,41,01,United States Postal Service,116,Federal,NTDO Vendor,NTV,NTDO,NTDO Vendor,NV,7,OS,OTHER STATE,N,16385.87,16283.60,20,19,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,40,01,US Department of Labor,115,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,99.93,99.93,1,1,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,3Y,01,Washington Headquarters Services,113,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,418.31,418.31,1,1,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,36,01,Dept of Health and Human Services,86,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,69.71,69.71,1,1,2023,1,2022,4,10,01
2022-10-01,State of New Jersey - SRP,244,State,N301,N3-01-STATE OF NEW JERSEY,N3,35,01,General Services Administration,85,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1896.74,1896.74,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD03,MD-03-MARYLAND COMPTROLLER OF TREASURY,MD,51,03,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,ST,STATE TAX,Y,7139.27,7139.27,3,3,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,98,01,Department of Homeland Security,180,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,4212.02,4212.02,6,6,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,70,01,DHHS Food and Drug Administration,152,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,1253.28,1253.28,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,69,01,Health and Human Service,150,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,436.66,436.66,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,2354957.63,2323347.97,1636,1602,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,41,01,United States Postal Service,116,Federal,NTDO Vendor,NTV,NTDO,NTDO Vendor,NV,7,ST,STATE TAX,Y,18645.56,18645.56,12,12,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,2U,01,United States Capitol Police,74,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,1968.29,1968.29,5,5,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,2G,01,U.S. Government Printing Office,60,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,3485.59,3485.59,4,4,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,1Q,01,Farm Credit Administration,34,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,415.00,415.00,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,1O,01,Admin. Ofc. of the U.S. Courts,32,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,1622.25,1622.25,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,06,01,Small Business Administration,6,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,553.05,553.05,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SIT,236,State,MD01,MD-01-MARYLAND COMPTROLLER OF TREASURY,MD,04,01,Department of Veterans Affairs,4,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,2065.48,2065.48,2,2,2023,1,2022,4,10,01
2022-10-01,Minnesota Dept of Revenue - SRP,234,State,M501,M5-01-MN DEPARTMENT OF REVENUE,M5,NV,01,Department of the Navy,251,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,12025.64,12025.64,2,2,2023,1,2022,4,10,01
2022-10-01,Minnesota Dept of Revenue - SRP,234,State,M501,M5-01-MN DEPARTMENT OF REVENUE,M5,71,01,Department of Health & Human Svcs,153,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,118.88,118.88,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M208,M2-08-STATE OF MARYLAND - CCU,M2,35,08,General Services Administration,85,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,193.58,193.58,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M208,M2-08-STATE OF MARYLAND - CCU,M2,30,08,U. S. Secret Service,80,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,103.50,103.50,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M208,M2-08-STATE OF MARYLAND - CCU,M2,2G,08,U.S. Government Printing Office,60,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,624.32,624.32,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,35,07,General Services Administration,85,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1867.41,1867.41,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,27,07,Social Security Administration,51,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,344.66,344.66,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,07,07,Dept of Housing & Urban Development,7,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,648.20,648.20,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,07,07,Dept of Housing & Urban Development,7,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,OS,OTHER STATE,N,522.95,-519.06,1,0,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,06,07,Small Business Administration,6,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,2229.95,2229.95,1,1,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,04,07,Department of Veterans Affairs,4,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,OS,OTHER STATE,N,567.38,567.38,10,10,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M207,"M2-07-STATE OF MARYLAND, DLLR",M2,03,07,Dept. of Health & Human Services,3,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1202.34,1202.34,2,2,2023,1,2022,4,10,01
2022-10-01,State of Maryland - SRP,233,State,M202,M2-02-STATE OF MARYLAND,M2,38,02,Smithsonian Institution,88,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,3860.10,3860.10,3,3,2023,1,2022,4,10,01
2022-10-01,Louisiana Workforce Comm - UIC,228,State,L201,L2-01-LOUISIANA WORKFORCE COMMISSION,L2,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,9933.30,9468.82,24,22,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,98,01,Department of Homeland Security,180,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1357.37,1357.37,11,11,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,94,01,Dept. of Transportation,176,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,2006.51,2006.51,1,1,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,83,01,Department of the Interior,165,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,209.48,209.48,2,2,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,80,01,Department of the Interior,162,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,825.00,825.00,2,2,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,77,01,U.S. Department of Justice,159,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,4978.39,4978.39,5,5,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,49,01,Federal Communications Commission,124,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,2916.55,2267.61,16,13,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,42,01,National Credit Union Admin.,117,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1633.48,1633.48,1,1,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,41,01,United States Postal Service,116,Federal,NTDO Vendor,NTV,NTDO,NTDO Vendor,NV,7,OS,OTHER STATE,N,2542.50,2542.50,6,6,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,3Y,01,Washington Headquarters Services,113,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,2047.32,2047.32,1,1,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,36,01,Dept of Health and Human Services,86,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,631.00,631.00,3,3,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,26,01,U.S. Customs & Border Protection,50,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,726.06,726.06,4,4,2023,1,2022,4,10,01
2022-10-01,Bureau of the Fiscal Service,83,Federal,33IM,33-IM-BUREAU OF FISCAL SERVICE,33,27,IM,Social Security Administration,51,Federal,Social Security Administration,SSA,TDO,SSA EFT,SE,11,FN,FEDERAL NON-TAX,N,8771.05,8771.05,48,48,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,23,01,U.S. Department of State,47,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,6493.49,6493.49,29,29,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,1O,01,Admin. Ofc. of the U.S. Courts,32,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,10166.34,10166.34,10,10,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,1O,01,Admin. Ofc. of the U.S. Courts,32,State,Vendor payment,VEN,TDO,Vendor Check,VC,13,OS,OTHER STATE,N,560.12,560.12,1,1,2023,1,2022,4,10,01
2022-10-01,District of Columbia - SIT,201,State,DC01,DC-01-DISTRICT OF COLUMBIA,DC,2B,01,Executive Office of the President,55,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,478.31,478.31,1,1,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,1C,01,Department of Homeland Security,21,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1665.37,1665.37,3,3,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,09,01,United States Department of Justice,9,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,1105.59,1105.59,2,2,2023,1,2022,4,10,01
2022-10-01,State of Louisiana - SRP,227,State,L101,L1-01-LOUISIANA DEPARTMENT OF REVENUE,L1,07,01,Dept of Housing & Urban Development,7,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,OS,OTHER STATE,N,1630.72,1620.72,1,0,2023,1,2022,4,10,01
2022-10-01,Commonwealth of Kentucky - SIT,226,State,KY01,KY-01-KENTUCKY DEPARTMENT OF REVENUE,KY,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,418956.18,414770.68,472,462,2023,1,2022,4,10,01
2022-10-01,Bureau of the Fiscal Service,83,Federal,33M8,33-M8-DMSOC - EAST,33,27,M8,Social Security Administration,51,Federal,Social Security Administration,SSA,TDO,SSA EFT,SE,11,FN,FEDERAL NON-TAX,N,357.90,357.90,1,1,2023,1,2022,4,10,01
2022-10-01,New Jersey Dept of Labor - UIC,268,State,Q8TX,Q8-TX-DIVISION OF EMPLOYER ACCOUNTS,Q8,51,TX,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,3033.45,2910.32,5,4,2023,1,2022,4,10,01
2022-10-01,PA Dept of Rev Coll and Tax - SIT,262,State,PA01,PA-01-COMMONWEALTH OF PENNSYLVANIA,PA,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,523260.76,516509.60,594,583,2023,1,2022,4,10,01
2022-10-01,PA Dept of Rev Coll and Tax - SIT,262,State,PA01,PA-01-COMMONWEALTH OF PENNSYLVANIA,PA,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,ST,STATE TAX,Y,554357.61,549191.67,623,614,2023,1,2022,4,10,01
2022-10-01,Commonwealth of Kentucky - SIT,226,State,KY01,KY-01-KENTUCKY DEPARTMENT OF REVENUE,KY,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,ST,STATE TAX,Y,362792.12,342595.78,349,333,2023,1,2022,4,10,01
2022-10-01,Commonwealth of Kentucky - SIT,226,State,KY01,KY-01-KENTUCKY DEPARTMENT OF REVENUE,KY,46,01,Farm Service Agency,121,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,ST,STATE TAX,Y,10315.53,10315.53,6,6,2023,1,2022,4,10,01
2022-10-01,Commonwealth of Kentucky - SRP,221,State,K201,K2-01-COMMONWEALTH OF KENTUCKY (SRP),K2,84,01,Bureau of Indian Affairs,166,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,10239.99,10239.99,1,1,2023,1,2022,4,10,01
2022-10-01,Commonwealth of Kentucky - SRP,221,State,K201,K2-01-COMMONWEALTH OF KENTUCKY (SRP),K2,3E,01,"DFAS - GFEBS, P2P",93,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,OS,OTHER STATE,N,24605.80,24605.80,4,4,2023,1,2022,4,10,01
2022-10-01,District of Columbia - SIT,201,State,DC01,DC-01-DISTRICT OF COLUMBIA,DC,71,01,Department of Health & Human Svcs,153,Federal,Vendor payment,VEN,TDO,Vendor Check,VC,13,ST,STATE TAX,Y,100.00,100.00,2,2,2023,1,2022,4,10,01
2022-10-01,Virginia Dept of Taxation - SIT,284,State,VA01,VA-01-VIRGINIA DEPARTMENT OF TAXATION,VA,30,01,U. S. Secret Service,80,Federal,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,172.50,172.50,1,1,2023,1,2022,4,10,01
2022-10-01,State of Tennessee DLWD - UIC,277,State,T301,T3-01-TN DEPT. OF  LABOR & WORKFORCE DEV.,T3,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund Check,IC,12,UC,UNEMPLOYMENT COMP,Y,42158.34,34186.24,49,47,2023,1,2022,4,10,01
2022-10-01,District of Columbia - SIT,201,State,DC01,DC-01-DISTRICT OF COLUMBIA,DC,51,01,Internal Revenue Service,132,Federal,Tax Refund,TAX,TDO,Tax Refund EFT,IE,12,ST,STATE TAX,Y,185395.99,182507.40,113,111,2023,1,2022,4,10,01
2022-10-01,District of Columbia - SIT,201,State,DC01,DC-01-DISTRICT OF COLUMBIA,DC,3U,01,Consumer Finance Protection Board,109,State,Vendor payment,VEN,TDO,Vendor EFT,VE,13,ST,STATE TAX,Y,141.31,141.31,1,1,2023,1,2022,4,10,01
